title,short_description,page
100 Grey Cups,This Is Our Game,224
Golf Mental Game: Top Mental Errors Golfers Make,,10
Golf Mind Play,Outsmarting Your Brain to Play Your Best Golf,48
101 Concepts For a Successful Football Program,,174
101 Bear 4-6 Stunts,,145
Are You Kidding Me?,The Story of Rocco Mediate's Extraordinary Battle with Tiger Woods at the US Open,336
Bizarre Rules of Golf,,47
It's Only a Game,Words of Wisdom from a Lifetime in Golf,224
Control The Common Denominator Of The 5 Main Types Of Golf Shots,,16
Golf My Own Damn Way,The Wit and Wisdom of John Daly,176
Golf My Way,,304
101 Cromos da Bola,,210
101 Concepts for Effective Football Practice,,186
Play Your Golf By the Rules,,195
Drive Like the Pros,Increase Your Clubhead Speed and Distance Using Revolutionary 3-D Technology by TaylorMade,176
Four Magic Moves to Winning Golf,,192
Golf Architecture,Economy in Course Construction and Greenkeeping,104
GOLF NO.1,BE CHAMPION OF THE GAME,52
Golf Nuts,You've Got to Be Committed,239
101 Defensive Football Drills Vol. 1: Individual Skills,,124
101 Defensive Back Drills (Second Edition),,121
How NOT to Play Golf: Game-losing Mistakes to Avoid,Game-losing Mistakes to Avoid,110
Mon coach de golf,,82
What It Means to Be a Nittany Lion,What It Means to Be - Joe Paterno and Penn States Greatest Players,336
Another 101 Drills to Improve Your Golf Game,,116
Golf on the Rocks,A Journey Round Scotland's Island Courses,206
Golf Psychology: When Positive Thinking Doesn't Work,,124
101 Defensive Football Drills Vol. 3: Pass Defense Drills,,124
101 Defensive Football Drills Vol. 2: Run Defense Drills,,124
"Birdies, Bogies and Kiwis: Golfing and Touring New Zealand",,207
How I Played the Game,An Autobiography,304
What It Means to Be a Buckeye,What It Means to Be - Urban Meyer and Ohio State's Greatest Players: Revised and Expanded Edition,416
Golf Putting Tips and Instruction,,34
Golf Puzzles And Other Activities,,14
101 Defensive Stunts for Youth Football,,118
101 Defensive Line Drills,,117
Ann Louise Gittleman's Guide to the 40-30-30 Phenomenon,,128
Beyond the Score,Relationship Keys for Golf and Life,96
"It's a Stupid Game, It'll Never Amount to Anything",The Golf Cartoons of Joseph Farris,144
Confessions of a Golfaholic,A Guide to Playing America??s Top 100 Public Golf Courses,448
Golf Resorts,"Where to Play in the USA, Canada, Mexico, Costa Rica & the Caribbean",400
Golf Resorts In the Caribbean,Where to Play & Where to Stay,70
101 Diamond Formation Running Plays,,160
101 Delaware Wing-T Plays,,120
Play Scratch Golf,An Amateur??s Guide to Playing Perfect Golf,224
Draw in the Dunes,The 1969 Ryder Cup and the Finish That Shocked the World,250
Fore! Play,The Last American Male Takes up Golf,240
Golf and Poker,,56
"Golf Rules & Etiquette Simplified, 3rd Edition : What You Need to Know to Walk the Links Like a Pro",,144
Golf Rules and Etiquette For Dummies,,192
101 Double-Wing Offense Plays,,122
101 Double Eagle Flex Stunts,,182
How I Play Golf,,320
What It Means to Be a Badger,What It Means to Be - Barry Alvarez and Wisconsin's Greatest Players,272
'Our Town': The Giants Who Won a Super Bowl and a Battle for New York,,250
"And If You Play Golf, You're My Friend",Furthur Reflections of a Grown Caddie,176
Golf Rx,A 15-Minute-a-Day Core Program for More Yards and Less Pain,224
Golf School:,The Tuition-Free Tee-to-Green Curriculum from Golf's Finest High End Academy,288
101 Fire Zone Blitzes,,141
101 Dropback Pass Patterns,,128
Beyond the Fairway,"Zen Lessons, Insights, and Inner Attitudes of Golf",288
How Great Golfers Think,Perfecting Your Mental Game,208
Moment of Glory,The Year Underdogs Ruled Golf,368
West Point Football IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,41
Golf Science,Optimum Performance from Tee to Green,192
Golf Scrimmages,Realistic Practice Games Under Pressure,230
101 gol che hanno cambiato la storia del calcio italiano,,346
101 Fundamentals for Developing Football Speed,,141
"""Then Zorn Said to Largent. . .""",Best Sports Stories Ever Told - The Best Seattle Seahawks Stories Ever Told,224
Ancestral Links,A Golf Obsession Spanning Generations,304
Better by Saturday (TM) - Short Game,Featuring Tips by Golf Magazine's Top 100 Teachers,128
Intentional Golf,,214
Golf Sense:Practical Tips On How To Play Golf In The Zone,,137
Golf Shorts And Plus Fours,Musings from a Golfing Traditionalist,240
101 gol che hanno fatto grande il Torino,,288
101 gol che hanno fatto grande il Milan,,288
Play Better Golf with Easy Yoga,,92
For the Love of Golf,For the Love of... - An A-to-Z Primer for Golf Fans of All Ages,48
Golf Anatomy,,200
Golf Solved,A Tongue-In-Cheek Guide to Simply Doing the Obviously Simple to Improve Your Golf Game,92
Golf Songs and Parodies,,32
101 gol che hanno fatto grande la Juventus,,256
101 gol che hanno fatto grande l'Inter,,288
How Champions Think,In Sports and in Life,304
Moe and Me,"Encounters with Moe Norman, Golf's Mysterious Genius",216
West Bromwich Albion,The Top 100 Matches,96
"""Then Vince Said to Herschel. . .""",Best Sports Stories Ever Told - The Best Georgia Bulldog Stories Ever Told,192
Golf Swing From the Ground Up,,196
"Golf Swing Instructions, Mechanics, Speed & Secrets",,20
101 I Back Running Plays,,129
101 gol che hanno fatto grande la Roma,,238
Anatomy of the Perfect Golf Swing,(The Surest Way to Better Golf),195
Better by Saturday (TM) - Putting,Featuring Tips by Golf Magazine's Top 100 Teachers,112
Modern Guide To Club Making,The Principles and Techniques of Components Golf Club Assembly and Alteration,152
Wellington,"The Maras, the Giants, and the City of New York",416
"""Then Tress Said to Troy. . .""",Best Sports Stories Ever Told - The Best Ohio State Football Stories Ever Told,192
Golf Swing pro,For men or women,75
101 Interesting Facts on Southend United,Learn About the Boys From Roots Hall,41
Anatomy of Golf,Revealed,233
Better by Saturday (TM) - Iron Play/Long Game,Featuring Tips by Golf Magazine's Top 100 Teachers,128
Instant golf,Tips and Techniques for Beginners,50
Coaching Golf Successfully,,208
Golf Swing Tips : Golf Swing Made Simple,,40
Golf Swing: The X-Factor Vol 1 (Enhanced Version),,35
101 Kicking and Punting Drills,,124
Follow the Leader,,210
Golf All-in-One For Dummies,,672
Holes Still To Play,Golfing Tales of Passion,230
Mistake-Free Golf,First Aid for Your Golfing Brain,250
Golf Swing: The X-Factor Vol 2 (Enhanced Version),,25
Golf Swing: The X-Factor Vol 3 (Enhanced Version),,32
101 motivi per odiare l'Inter e tifare il...,,240
101 motivi per odiare il Milan e tifare l...,,288
Wedded to the Game,The Real Lives of NFL Women,204
"""Then Steve Said to Jerry. . .""",Best Sports Stories Ever Told - The Best San Francisco 49ers Stories Ever Told,190
Anatomy of a Record,,13
Better by Saturday (TM) - Driving,Featuring Tips by Golf Magazine's Top 100 Teachers,144
Golf Swing: The X-Factor Vol 4 (Enhanced Version),,49
Golf Tales Volume I,,37
101 motivi per odiare la Lazio e tifare l...,,240
101 motivi per odiare la Juventus e tifar...,,336
Golf : Le swing intemporel,Edition enrichie de vid??os,208
Miracle at Merion,The Inspiring Story of Ben Hogan's Amazing Comeback and Victory at the 1950 U.S. Open,320
We Own This Game,A Season the in the Adult World of Youth Football,208
"""Then Pinkel Said to Smith. . .""",Best Sports Stories Ever Told - The Best Missouri Tigers Stories Ever Told,272
Golf Tales Volume II,,34
Golf Tales Volume III,,33
101 No-Huddle Spread Offense Plays,,202
101 No-Huddle Spread Offense Drills,,117
An Open Book: The Paul Lawrie Story,,220
Best Gifts for Golfers,,47
Own Your Game,How to Use Your Mind to Play Winning Golf,144
Inner Game Golf,Die Idee vom Selbstcoaching,281
Golf The Journey,A book of Living & Learning,181
Golf Tips Up & Over: How To Improve Your Golf Game,,46
101 Offensive Line Drills for the Zone Offense (Second Edition),,147
101 Offensive Line Drills (Second Edition),,122
Club Golf,The Simple Guide to Golf Competitions and Scoring,90
Distant Greens,"Golf, Life and Surprising Serendipity On and Off the Fairways",199
Extraordinary Putting,Transforming the Whole Game,208
"Golf Tough: Practice, Prepare, Perform and Progress",,231
101 Pistol Run Plays,,133
101 Pistol Option Plays,,131
"Fix Your Body, Fix Your Swing",The Revolutionary Biomechanics Workout Program Used by Tour Pros,250
Golf 101 for Women,Start Here. Play for Life.,60
Hogan's Boy,,196
Miracle at Medinah: Europe's Amazing Ryder Cup Comeback,,300
Golf Under Pressure,How to Play Under Pressure and Conquer the Choke Point,160
Golf Unplugged,,240
101 Quarterback Drills,,119
101 Program Development and Motivational Tips for Football Coaches,,143
We Are the Giants!,The Oral History of the New York Giants,240
"""Then Osborne Said to Rozier. . .""",Best Sports Stories Ever Told - The Best Nebraska Cornhuskers Stories Ever Told,224
An Introduction To The Game Of Golf,,14
Best 20 Dollar Golf Lesson Ever,,25
Golf Wisdom From the Legends,,228
Golf Wisdom From Under The Hat,,179
101 Reasons to Love the Cowboys,,120
101 Quirky Football Facts,,21
Five Simple Steps to Perfect Golf,,97
Golf 1-2,,70
Hogan on the Green,A Detailed Analysis of the Revolutionary Putting Method of Golf Legend Ben Hogan,176
Mind Over Golf,How to Use Your Head to Lower Your Score,210
Golf without Fear: Money Golf - When Winning is More Important than Fun,,31
Golf Without Fear: Stop Failing to Get Up and Down in Front of Witnesses,"Golf Without Fear, no. 2",12
101 Receiver Drills (Second Edition),,123
101 Reasons to Love the Packers,,120
"""Then Morton Said to Elway. . .""",Best Sports Stories Ever Told - The Best Denver Broncos Stories Ever Told,224
Ben Hogan's Letter Lessons,,69
Royal and Ancient,"Blood, Sweat, and Fear at the British Open",272
"Golf without Fear: Stop the Embarrassment of Mis-Hit Balls In a Week (More or Less, For Most People)","Golf Without Fear, no. 1",15
We Are the Bears!,The Oral History of the Chicago Bears,256
Golf Yips: Practical Exercises and Mental Routines to Overcome The Yips,,73
101 Shotgun Wing-T Plays,,128
"Out of the Bunker and into the Trees, or The Secret of High-Tension Golf",,192
Improve Your Golf Swing,,31
Classy Divots,The Best From Golf's Online Literary Magazine,417
PGA Pro-Tipps 5,"Ausgabe 5: Training ""Langes Spiel""",38
101 Single Wing Plays,,119
101 Split 4-4 Stunts,,164
101 Special Teams Drills,,131
Die Partherapie,Spielend besser scoren,240
Every Shot Must Have a Purpose,How GOLF54 Can Make You a Better Player,224
Fit For Golf,"A Personalized Conditioning Routine to Help You Improve Your Score, Hit the Ball Farther, and Enjoy the Game More",192
Going Fore It,In Golf and Life,236
101 Spread Offense Drills,,128
Hogan,,262
101 Tips for New and Aspiring Head Football Coaches,,149
Miller's Miracle,,130
We Are Penn State,The Remarkable Journey of the 2012 Nittany Lions,256
"""Then Madden Said to Summerall. . .""",Best Sports Stories Ever Told - The Best NFL Stories Ever Told,256
101 Ways to Run the Option (2nd Edition),,138
An Idiot for All Seasons,A David Feherty Collection,284
101 Weak Eagle Stunts,,185
Ben Hogan,"The Myths Everyone Knows, the Man No One Knew",384
Rotary Swing Tour Certification Manual,Level 1,61
Every Shot I Take,,208
"Golf's All-Time Firsts, Mosts, Leasts, and a Few Nevers",,184
Golf&#39;s Golden Rule,What Every Pro Does Instinctively . . . And You Don&#39;t,224
101 Wing-T from A to Z Plays,,115
First Coming,,88
Golf's All-Time Greatest,,212
101 Winning Defensive Line Drills,,144
"Hit It, Alice!",A Woman's Golf Guide to Everything But the Swing,124
Michelle Wie,The Making of a Champion,250
Golf's Forgotten Legends,& Unforgettable Controversies,176
101 Winning Football Drills: From the Legends of the Game,,262
Golf's Greatest Championship,The 1960 U.S. Open,288
Warpaths,The Illustrated History of the Kansas City Chiefs,240
101 Winning Offensive Line Drills,,122
God Loves Golfers Best,"The Best Jokes, Quotes, and Cartoons for Golfers",144
"""Then Levy Said to Kelly. . .""",Best Sports Stories Ever Told - The Best Buffalo Bills Stories Ever Told,240
American Triumvirate,"Sam Snead, Byron Nelson, Ben Hogan, and the Modern Age of Golf",416
Golf's Greatest Collapses,,129
101 Winning Special Teams Drills,,121
Rory's Glory,,144
Golf's Greatest Eighteen,The Eighteen Best Players of All Time,304
101 Youth Football Plays,,124
King of Clubs,The Great Golf Marathon of 1938,168
Golf's Greatest Rivalry,The Five Most Memorable Ryder Cups As Told By Sports Illustrated,52
101 Zone Offense Plays,,131
Junior Golf In Pictures,The Junior Golfer's Handbook,0
Golf's Short Game For Dummies,,288
Open Mind,An Introduction to Silent Mind Golf,37
"If You're a Duffer, You're OK in My Book","Getting the Most Out of a Round, Even If You'll Never Break 80 or 90",120
Christmas Gift Ideas for Golfers,Top 10 Perfect Golf Presents,18
Golf's Simple Mental Game Secrets,,28
PGA Pro-Tipps 3,Ausgabe 3: Je schlechter desto rechter,36
Golf's Simple Putting Secrets,"Golf's Simple Secrets, no. 2",23
Every Shot Counts,Using the Revolutionary Strokes Gained Approach to Improve Your Golf Performance and Strategy,288
Finding Your Zone,Ten Core Lessons for Achieving Peak Performance in Sports and Life,192
Golf's Simple Secrets,,21
God Carries a One Iron,A Christian Approach to Golf,237
Golf's Simple Secrets - Increase Your Power,,27
HIT IT HARD: A RuthlessGolf.com Quick Guide,,61
Michael Anthony's Mental Golf Tips,,157
War Without Death,A Year of Extreme Competition in Pro Football,416
"""Then Landry Said to Staubach. . .""",Best Sports Stories Ever Told - The Best Dallas Cowboys Stories Ever Told,192
Golf's Simple Secrets: The Complete Series,,113
Amen,How Adam Scott Won the US Masters and Broke the Curse of Augusta National,252
Golf's Simple Secrets: The Short Game,"Golf's Simple Secrets, no. 3",16
Beginning Golf Tips For Ladies,,21
Essays on Golf,,1321
Golf's Strangest Rounds,Extraordinary But True Tales from a Century of Golf,300
Golf's Three Noble Truths,The Fine Art of Playing Awake,256
Finding Your Own Fundamentals,Gold Digest Library 2,96
God and the Golfer,,108
Historical Perspectives on Golf Course Design and Management,,92
Methods of Early Golf Architecture,"The Selected Writings of Alister MacKenzie, H.S. Colt, and A.W. Tillinghast",124
Golf's Unfolding Drama,Rare Interplays of Light on Form,98
"Golf, A Very Peculiar History",,188
War Room,The Legacy of Bill Belichick and the Art of Building the Perfect Team,352
Youth Football Skills and Drills: A Beginner's Guide,,63
"""Then Gibbs Said to Riggins. . .""",Best Sports Stories Ever Told - The Best Washington Redskins Stories Ever Told,256
"Golf, It's Just a Game",The Best Quotes & Cartoons About Golf,112
"Golf, Length, and How to Go From 15 to 5 Without Lying",,36
Bedside Golf,,88
Jouer au golf sans viser la perfection,,270
One Week in June: The U.S. Open ,"Stories and Insights About Playing on the Nation's Finest Fairways from Phil Mickelson, Arnold Palmer, Lee Trevino, Grantland Rice, Jack Nicklaus, Dave Anderson, and Many More",400
If I Could Only Putt,,72
Golf--The Mental Game,,273
Golf. A course in life,,148
PGA Pro-Tipps,Ausgabe 1: Taktik und Pre-Shot-Routine,36
Decisions on the Rules of Golf 2014 - 2015,,722
Golf. Die Platzreife,Spielpraxis  Theorie  Pr??fungsfragen,160
Golf:,Find Center Enter the Circle,412
Final Score - Golf,On the Tee,322
Go Round With the Pro - Mickleover Golf Club,How to Play the Golf Courses of Britain,32
His Ownself,A Semi-Memoir,288
Golf: A Beginners Guide and Reference,,115
1933,Football at the Depth of the Great Depression,192
Golf: DestinationPAR-Band 1,"GOLF Lernen. Spielen. Verstehen. Einfach alles ??ber Golf in Wort, Bild und Film.",248
2005 Coach of the Year Clinics Football Manual,,288
War As They Knew It,"Woody Hayes, Bo Schembechler, and America in a Time of Unrest",384
Youth Football Skills & Drills : A New Coach's Guide,,176
"""Then Ditka Said to Payton. . .""",Best Sports Stories Ever Told - The Best Chicago Bears Stories Ever Told,192
All to Play For,,388
Golf: DESTINATIONPAR-Band 1 (Online-Version),"GOLF Lernen. Spielen. Verstehen. Einfach alles ??ber Golf in Wort, Bild und Film.",248
2007 Coach of the Year Clinic Notes,Lectures by Premier High School Coaches,268
Golf: DestinationPAR-Band2,28 Schwunganalysen,184
2007 Offensive Line Coaches Handbook,Featuring Lectures from the 2007 C.O.O.L. Clinic,90
Becoming Blackwolf Run,,246
Rory McIlroy: The Biography,,288
Death Trap,,342
Enjoy Life....Play Golf!,,31
Golf: DESTINATIONPAR-Band2 (Online-Version),28 Schwunganalysen,184
2008 Coach of the Year Clinic Notes,,255
Golf: Eat to win,Essen & Trinken auf der Runde,30
2008 Coach of the Year Clinics Football Manual,,271
Fifty Years of Golf,,172
Gli Ingolfati,(tra uno swing e un putt d'autore),134
His Father's Son,Earl and Tiger Woods,312
Masters of Men,"Rory McIlroy, Ken Venturi and their Epic Journey from Augusta to Bethesda",256
Golf: Energy in Motion,It's Not About the Ball; It's About the Possibilities!,125
2008 Offensive Line Coaches Handbook: Featuring Lectures From the 2008 C.O.O.L. Clinic,,95
"Golf: Golf Success- Beginners Guide, Mindset & Play better Golf",,21
2009 Coach of the Year Clinic Notes,,270
Walter & Me,Standing In the Shadow of Sweetness,256
Youth Football Rulebook 2011,,218
"""Then Bud Said to Barry, Who Told Bob ...""",Best Sports Stories Ever Told - The Best Oklahoma Sooners Stories Ever Told,304
Alice Cooper: Golf Monster,How a Wild Rock'n'Roll Life Led to a Serious Golf Addiction,242
"Golf: Steps to Success, 2E",,248
2009 Offensive Line Coaches Handbook: Featuring Lectures From the 2009 C.O.O.L. Clinic,,114
Golf: The Funny Side,,37
2010 Clinic Notes: Lectures by Premier High School Coaches,,259
BECOME A PUTTING MACHINE,,135
Robert Kalkman Foundation,Golf Plezier voor Kinderen met Kanker,22
Ken Venturi,Trust,32
Johnny's U.S. Open,Golf's Sacred Journey 2,164
Golf: The Rabito Way,The True Biomechanical Approach to the Golf Swing,103
2010 Coach of the Year Clinics Football Manual,,287
Golf: The Ultimate Mind Game ??Your Path to Peak Performance On and Off the Golf Course,,136
2010 Offensive Line Coaches Handbook: Featuring Lectures From the 2010 C.O.O.L. Clinic,,95
One Magical Sunday,(But Winning Isn't Everything),224
Ian Poulter,The Biography of Britain's Golfing Hero,2420
Cherry's Jubilee,"Singin' and Swingin' Through Life with Dino and Frank, Arnie and Jack",256
Pebble Beach,The Official Golf History,224
Golfer's Palette,Preparing for Peak Performance,120
2011 Coach of the Year Clinics Football Manual,,295
Golfer's Start-Up,Start-Up Sports Series - A Beginner's Guide to Golf,160
2011 Offensive Line Coaches Handbook: Featuring Lectures From the 2011 C.O.O.L. Clinic,,112
Deane Beman: Golf's Driving Force,The Inside Story of the Man Who Transformed Professional Golf Into a Billion-Dollar Business,365
Endurance,Winning Life's Majors the Phil Mickelson Way,224
Fifty Places to Play Golf Before You Die,Fifty Places - Golf Experts Share the World's Greatest Destinations,224
Giocare a Golf in Perfetta Salute,,126
Golfers and Skiers,Golfers Guide to Skiing  Skiers Guide to Golfing,102
2012 Coach of the Year Clinic Notes: Lectures by Premier High School Coaches,,259
Golfers Handbook,Save your golf game and your LIFE!,54
2012 Coach of the Year Clinics Football Manual,,291
Higher Fees,,318
Mastering The Finer Details Of Golf,,100
"""Then Belichick Said to Brady. . .""",Best Sports Stories Ever Told - The Best New England Patriots Stories Ever Told,256
Al Capone was a Golfer,,224
Golfheroen,Die Gr??nderv??ter des modernen Golfsports,176
2012 Fantasy Football Draft Guide by The Fantasy Fix,,107
Golfing in the Zone: The Long Game,,148
Be the Ball: The Magic Dozen At Emerald Pond,,120
"Right Distance, Wrong Direction",Humorous Stories from The Back Nine,216
Deals on the Green,Lessons on Business and Golf from America's Top Executives,208
Embedded Balls,,224
Golfing in the Zone: The Short Game,,107
2013 Fantasy Football Draft Kit,Presented by FFLockerRoom.com,0
2013 Fantasy Football Draft Guide by TheFantasyFix.com & RotoAnalysis.com,,76
Golfing into the Golden Years,,94
2013 Fantasy Funny Football Draft Guide,,70
Fifty More Places to Play Golf Before You Die,Fifty Places - Golf Experts Share the World's Greatest Destinations,224
Getting To Scratch,,178
Headgame Solutions For Golf,Improve Your Mental Game With a Practical Guide That Works!,20
Mastering Golf's Mental Game,Your Ultimate Guide to Better On-Course Performance and Lower Scores,224
Golfing Kauai,,14
2013 Longhorn Football Prospectus: Thinking Texas Football,,149
Golfing with Dad,The Game's Greatest Players Reflect on Their Fathers and the Game They Love,160
2014 Brecksville-Broadview Heights Football 2014 - Part 1,,272
Wally's Boys,,290
Your Team Makes Me Laugh,,118
"""Then Bavaro Said to Simms. . .""",Best Sports Stories Ever Told - The Best New York Giants Stories Ever Told,256
Golfing with Your Eyes Closed : Mastering Visualization Techniques for Exceptional Golf,,208
2014 Longhorn Football Prospectus: Thinking Texas Football,,201
Afternoons with Mr. Hogan,,176
GOLFISCH,Die einzig wahre Golfsprache,106
2014 NFHS Football Case Book,,227
Be the Ball,A Golf Instruction Book for the Mind,224
Rick Limmer's Guide To Playing Bogey Golf,,119
Keep it Simple Golf: The Shank,"Keep it simple Golf, no. 2",11
Golf??s Finest Par Threes,The Art and Science of the One-Shot Hole,276
2014 NFHS Football Rules Book,,182
Nothin's Funnier Than Golf In Texas,,100
Golf??s Sacred Journey,Seven Days at the Links of Utopia,176
2015 Longhorn Football Prospectus: Thinking Texas Football,,164
One for the Ages,Jack Nicklaus and the 1986 Masters,240
I Remember Sam Snead,Memories and Anecdotes,240
Champagne Tony Lema: Triumph to Tragedy,,398
GOOD GOLF is EASY,,74
2015 New York Giants Almanac,,95
Payne at Pinehurst,The Greatest U.S. Open Ever,250
Good Golf is Easy !,"Jouer en confiance, avec facilit?? et en prenant du plaisir !",72
2015 NFHS Football Case Book,,227
Dead On Line,,140
Echte Golfer weinen nicht,Am??santes von Fairway und Green,96
Fearless Golf,Conquering the Mental Game,288
Great Golf,Game-Changing Tips from History's Top Golfers,256
2015 NFHS Football Rules Book,,174
Get Your Golf On!  Your Guide for Getting In the Game,,112
Greatest Moments of Football,,128
2015 NFL Draft,,72
Head to Head,Great Golf Debates,208
Maryvale Golf Course,The First 50 Years,189
Walk-On U,The Shocking Truth Behind Football's Unsung Underdogs,307
Green Fees - Tales of Barndem Country Club,,316
21 Things You Gotta Know About the NFL (For Those Who Just Don't Get It!),,41
21-194-13 MICHGAN FOOTBALL'S GREATEST ERA,,442
"""Then Ara Said to Joe. . .""",Best Sports Stories Ever Told - The Best Notre Dame Football Stories Ever Told,192
Advance Your Golf Game,,60
Balls!,Confessions of a Rural Golf Course Owner,164
Passion for Golf: In Pursuit of the Innermost Game,,150
David Graham,From Ridicule to Acclaim,120
Revolutionary Golf Made Easy,,113
Echte Golfer bleiben treu,Vergn??gliches vom Abschlag bis zur Fahne,96
Family Golfing,Tips for the Whole Family,77
Gary Player,Golf's Global Ambassador from South Africa to Augusta,128
Haunted Golf,Spirited Tales from the Rough,224
Manejo del agua,,0
"Waiting for the Fall: A Decade of Dreams, Drama and West Virginia University Football",,404
250 Stats Every Packers Fan Needs to Know,"Fascinating Stats, Numbers, Facts and Trivia  From the Packers 2014 Season",70
Xenith X2,Football Helmet,10
Yes I Can!,Struggles from Childhood to the NFL,40
Zakazane gole. Futbol w okupowanej Warszawie,,160
49ers Almanac 2015,Your Ultimate Guide to the 49ers Season,152
"""I Remember Bo. . .""",Memories of Michigan's Legendary Coach,192
Accurate Iron Play: A RuthlessGolf.com Quick Guide,,45
Bad Lies,"A Field Guide to Lost Balls, Missing Links, and Other Golf Mishaps",128
4th & Hell Season 2,,226
Reiselust Golf & More,"113 Tipps Chiemgau & Kaiserwinkl K??ssen - Golfpl??tze, Kultur & Genuss",636
Keep it Simple Golf: The Basics,,10
Jerome Andrews Golf: Synchronized Swing (Enhanced Version),,23
4th and Goal,One Man's Quest to Recapture His Dream,288
On Par,The Everyday Golfers Survival Guide,352
I Remember Ben Hogan,Personal Recollections and Revelations of Golf's Most Fascinating Legend from the People Who Knew Him Best,225
Caddy for Life,The Bruce Edwards Story,320
Paper Tiger,An Obsessed Golfer's Quest to Play with the Pros,336
Dave Pelz's Putting Games,"The More You Play, the Better You Putt",176
Easy Golf Tips,,16
50 Quick Facts About The Indianapolis Colts,,18
Fairways and Greens,,272
Gang of Eight: The First Tee,,492
Harvey Penick's Little Red Book,Lessons And Teachings From A Lifetime In Golf,176
Manejo de canchas de golf,,41
Back in the Swing of Things,,0
Reflections On the Game,,24
"50 Years, 50 Moments",The Most Unforgettable Plays in Super Bowl History,0
East Lake Golf Club,,128
Fairway to Hell,Around the World in 18 Holes,240
51 Questions for the Diehard Fan,Texas A&M Aggies,7
G.O.L.F.,Greatest of Life's Frustrations - Game of Limitless Fun,152
Harvey Penick,Modesty,32
Manejo de campos de golfe,,0
Real Golf,,284
New Golf Thinking: 7 Breakthrough Techniques to Lower Any Score...and How to Stop Slow Play,,91
51 Questions for the Diehard Fan: FSU Seminoles,,8
OCL NIeuwsbrief,mei 2013,15
I Golf Therefore I Am--Nuts!,,248
Quotable Tiger,"A Grand Compendium of Compelling Quotes By and About Tiger Woods, Golf Champion Extraordinaire",150
Jerome Andrews Golf: Myths and Drills (Enhanced Version),,20
51 Questions for the Diehard Fan: Alabama Crimson Tide,,8
51 Questions for the Diehard Fan: Georgia Bulldogs,,7
Making the Masters,Bobby Jones and the Birth of America's Greatest Golf Tournament,272
Raising the Bar,The Championship Years of Tiger Woods,304
Rafael Vera Putt para profesionales,"Tu putt tiene f??cil soluci??n, s??lo necesitas un m??todo.",60
Rafael Vera Putt,Tu putt tiene f??cil soluci??n. S??lo necesitas un m??todo.,111
51 Questions for the Diehard Fan: Oklahoma Sooners,,8
51 Questions for the Diehard Fan: LSU Tigers,,8
51 Questions for the Diehard Fan: Oregon Ducks,,8
51 Questions for the Diehard Fan: Texas Longhorns,,7
596 Switch,The Improbable Journey From The Palouse to Pasadena,284
74 Hustle,,70
Ultimate Directory,of English & Scottish Football League Grounds,240
77,"Denver, The Broncos, and a Coming of Age",376
Unbeatable: Notre Dame's 1988 Championship and the Last Great College Football Season,Notre Dame's 1988 Championship and the Last Great College Football Season,250
Vanderbilt Football,Tales of Commodore Gridiron History,160
Quarterback Play: Fundamentals and Techniques,,130
UNBEATEN,Bakersfield High School's 13-0 season of 2011,150
Ocho Cinco,What Football and Life Have Thrown My Way,272
90 Minutes Is Not Enough,,180
Uncommon,Finding Your Path to Significance,304
Vikings 50,All-Time Greatest Players in Franchise History,224
Odyssey,"From Blue Collar, Ohio to Super Bowl Champion",228
Uncommon Heroes,The hard men and raw talent that built rugby league,304
Vince Lombardi,Toughness,32
Of Bread and Circuses: The Story of Bountygate and the 2012 New Orleans Saints,,240
99 Stats Before Kickoff,,175
Uncommon Marriage Bible Study,,112
Of Mikes and Men,From Ray Scott to Curt Gowdy: Tales from the Pro Football Booth,320
Rammer Jammer Yellow Hammer,A Journey into the Heart of Fan Mania,288
Undefeated,A College Football Pilgrimage,258
Offensive Conduct,My Life on the Line,240
Rangers Treble Kings,A Tribute to a Forgotten Achievement,192
UNDENIABLE,The New England Patriots' Road to a Fourth Super Bowl Title,144
Offensive Game and Practice Planning for Winning Football,,144
Rare Air eBook,The University of Oregon's Historic 2014 Football Season,236
Saturday Morning Wake-Up Call: A 21st Century Survival Guide for High School Football Coaches,,81
Under Pressure,How Playing Football Almost Cost Me Everything and Why I&#39;d Do It All Again,304
Offensive Line Coaches Handbook: Featuring Lectures From the 2014 C.O.O.L. Clinic,,103
Recruiting Confidential,"A Father, a Son, and Big Time College Football",224
Saturday Rules,,352
"Understanding Brazil, the contry of the football",,182
Offsides!,Fred Wyant's Provocative Look Inside the National Football League,245
Red White and Khaki,The Story of the Only Wartime FA Cup Final,328
Science and Football VII,The Proceedings of the Seventh World Congress on Science and Football,448
Unintended Impact,One Athlete??s Journey from Concussions in Amateur Football to CTE Dementia,266
Ohio State Buckeyes Football,By The Numbers,112
Red Zone,The Greatest Victories in the History of Nebraska Football,190
"Scoreboard, Baby","A Story of College Football, Crime, and Complicity",400
Ohio State University: THE National Champions,Ohio State completes a season for the ages.,172
Redemption,The Baltimore Ravens' 2012 Championship Season,128
Scouting deportivo,"Metodolog??a, scouting y coaching: El manual que profesionaliza el f??tbol Modesto desde la captaci??n hasta el estudio t??cnico-t??ctico: Primer manual sobre la materia",95
Tales from the Baltimore Ravens Sideline,A Collection of the Greatest Ravens Stories Ever Told,208
Ohio's Troy vs. Piqua Football Rivalry: The Battle on the Miami,,144
